bulan,kecamatan,kelurahan,lama_genangan,rw_terdampak,kk_terdampak,jiwa_terdampak,korban_meninggal,korban_hilang,korban_luka_berat,korban_luka_ringan,jumlah_jiwa_pengungsi_tertinggi,jumlah_tempat_pengungsian,jumlah_nilai_kerugian,rata_rata_ketinggian_air_min,rata_rata_ketinggian_air_max
2013-01,35.0,124.0,15.0,2414.0,506164.0,1226487.0,38.0,0.0,0.0,0.0,83554.0,1115.0,0,10,400
2013-02,15.0,34.0,8.0,207.0,19177.0,46865.0,0.0,0.0,0.0,0.0,740.0,21.0,0,10,175
2013-03,5.0,9.0,2.0,68.0,9215.0,27020.0,0.0,0.0,0.0,0.0,2406.0,34.0,0,10,250
2013-04,10.0,16.0,4.0,66.0,6004.0,15060.0,0.0,0.0,0.0,0.0,318.0,7.0,0,10,100
2013-05,10.0,16.0,3.0,139.0,4740.0,18481.0,0.0,0.0,0.0,0.0,1245.0,42.0,0,0,160
2013-06,3.0,4.0,7.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,150
2013-07,6.0,10.0,4.0,56.0,8270.0,22537.0,0.0,0.0,0.0,0.0,443.0,8.0,0,10,180
2013-08,7.0,12.0,3.0,55.0,11735.0,32427.0,0.0,0.0,0.0,0.0,536.0,12.0,0,20,300
2013-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,300
2013-10,5.0,5.0,3.0,16.0,1969.0,5420.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,100
2013-11,9.0,16.0,6.0,87.0,6491.0,18367.0,2.0,0.0,0.0,0.0,86.0,8.0,0,10,100
2013-12,11.0,17.0,4.0,78.0,4584.0,13814.0,0.0,0.0,0.0,0.0,1585.0,3.0,0,10,200
2015-01,35.0,124.0,15.0,2414.0,506164.0,1226487.0,38.0,0.0,0.0,0.0,83554.0,1115.0,0,10,400
2015-02,15.0,34.0,8.0,207.0,19177.0,46865.0,0.0,0.0,0.0,0.0,740.0,21.0,0,10,175
2015-03,5.0,9.0,2.0,68.0,9215.0,27020.0,0.0,0.0,0.0,0.0,2406.0,34.0,0,10,250
2015-04,10.0,16.0,4.0,66.0,6004.0,15060.0,0.0,0.0,0.0,0.0,318.0,7.0,0,10,100
2015-05,10.0,16.0,3.0,139.0,4740.0,18481.0,0.0,0.0,0.0,0.0,1245.0,42.0,0,0,160
2015-06,3.0,4.0,7.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,150
2015-07,6.0,10.0,4.0,56.0,8270.0,22537.0,0.0,0.0,0.0,0.0,443.0,8.0,0,10,180
2015-08,7.0,12.0,3.0,55.0,11735.0,32427.0,0.0,0.0,0.0,0.0,536.0,12.0,0,20,300
2015-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,300
2015-10,5.0,5.0,3.0,16.0,1969.0,5420.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,100
2015-11,9.0,16.0,6.0,87.0,6491.0,18367.0,2.0,0.0,0.0,0.0,86.0,8.0,0,10,100
2015-12,11.0,17.0,4.0,78.0,4584.0,13814.0,0.0,0.0,0.0,0.0,1585.0,3.0,0,10,200
