,Entity,Code,Day,retail_and_recreation,grocery_and_pharmacy,residential,transit_stations,parks,workplaces
0,Indonesia,IDN,2020-02-17,-2.667,-3.0,1.333,-1.333,-7.333,3.333
1,Indonesia,IDN,2020-02-18,-2.75,-2.75,1.25,-0.75,-6.5,3.0
2,Indonesia,IDN,2020-02-19,-2.8,-3.0,1.2,-0.6,-5.8,2.6
3,Indonesia,IDN,2020-02-20,-2.667,-2.667,1.167,0.167,-5.0,2.333
4,Indonesia,IDN,2020-02-21,-2.571,-2.714,1.143,0.429,-5.0,2.714
5,Indonesia,IDN,2020-02-22,-2.286,-2.429,1.0,0.429,-4.571,2.714
6,Indonesia,IDN,2020-02-23,-2.143,-2.143,0.857,0.429,-4.286,2.857
7,Indonesia,IDN,2020-02-24,-2.0,-2.0,0.857,0.429,-3.857,3.0
8,Indonesia,IDN,2020-02-25,-2.286,-2.0,1.143,-0.571,-4.143,2.429
9,Indonesia,IDN,2020-02-26,-2.143,-1.571,1.0,-0.571,-4.143,2.714
10,Indonesia,IDN,2020-02-27,-1.857,-1.143,0.857,-0.857,-4.429,3.143
11,Indonesia,IDN,2020-02-28,-1.429,-0.286,0.857,-0.714,-4.429,3.143
12,Indonesia,IDN,2020-02-29,-1.143,0.571,0.857,-0.286,-4.714,3.286
13,Indonesia,IDN,2020-03-01,-0.714,1.429,0.857,0.286,-5.143,3.286
14,Indonesia,IDN,2020-03-02,0.286,3.571,0.714,0.857,-4.571,3.429
15,Indonesia,IDN,2020-03-03,1.429,5.286,0.286,2.0,-4.0,4.429
16,Indonesia,IDN,2020-03-04,1.714,6.0,0.429,1.857,-4.286,4.571
17,Indonesia,IDN,2020-03-05,2.286,6.857,0.429,2.0,-4.0,4.571
18,Indonesia,IDN,2020-03-06,2.429,7.0,0.429,2.0,-3.714,4.714
19,Indonesia,IDN,2020-03-07,2.571,7.0,0.429,1.857,-3.286,4.714
20,Indonesia,IDN,2020-03-08,2.571,6.857,0.429,1.714,-2.714,4.857
21,Indonesia,IDN,2020-03-09,2.143,5.571,0.571,1.429,-2.857,4.857
22,Indonesia,IDN,2020-03-10,2.143,5.0,0.714,1.286,-2.286,4.714
23,Indonesia,IDN,2020-03-11,2.571,5.143,0.714,1.571,-1.286,4.714
24,Indonesia,IDN,2020-03-12,2.286,4.429,0.857,1.286,-1.143,4.714
25,Indonesia,IDN,2020-03-13,2.286,4.286,0.857,1.0,-1.0,4.714
26,Indonesia,IDN,2020-03-14,1.571,3.857,1.0,-0.143,-1.286,4.571
27,Indonesia,IDN,2020-03-15,0.429,3.714,1.286,-1.714,-2.429,4.571
28,Indonesia,IDN,2020-03-16,-0.857,3.571,1.857,-3.571,-3.429,2.714
29,Indonesia,IDN,2020-03-17,-2.571,2.857,2.571,-6.0,-5.143,0.286
30,Indonesia,IDN,2020-03-18,-4.571,2.143,3.571,-9.143,-7.143,-2.571
31,Indonesia,IDN,2020-03-19,-7.143,1.0,4.714,-13.0,-9.571,-5.571
32,Indonesia,IDN,2020-03-20,-10.143,-0.429,6.0,-17.571,-12.286,-9.0
33,Indonesia,IDN,2020-03-21,-13.143,-1.571,7.143,-21.571,-15.714,-11.286
34,Indonesia,IDN,2020-03-22,-16.714,-4.143,8.143,-25.857,-19.571,-12.857
35,Indonesia,IDN,2020-03-23,-19.571,-6.143,9.286,-30.0,-22.0,-15.571
36,Indonesia,IDN,2020-03-24,-22.429,-7.857,10.286,-33.714,-24.286,-18.143
37,Indonesia,IDN,2020-03-25,-26.286,-10.714,12.143,-38.143,-27.0,-24.286
38,Indonesia,IDN,2020-03-26,-28.857,-12.429,13.0,-41.0,-28.857,-26.714
39,Indonesia,IDN,2020-03-27,-31.286,-13.857,13.857,-43.571,-30.714,-28.857
40,Indonesia,IDN,2020-03-28,-34.0,-16.0,14.714,-46.0,-33.0,-30.571
41,Indonesia,IDN,2020-03-29,-36.143,-17.714,15.429,-47.714,-34.857,-31.714
42,Indonesia,IDN,2020-03-30,-37.429,-18.857,15.857,-49.143,-35.857,-32.714
43,Indonesia,IDN,2020-03-31,-38.286,-19.571,16.143,-50.143,-36.714,-33.286
44,Indonesia,IDN,2020-04-01,-37.286,-18.143,15.286,-49.714,-36.286,-29.857
45,Indonesia,IDN,2020-04-02,-37.143,-17.571,15.429,-50.286,-36.143,-30.0
46,Indonesia,IDN,2020-04-03,-37.0,-17.571,15.571,-50.857,-36.143,-30.143
47,Indonesia,IDN,2020-04-04,-36.714,-17.571,15.571,-51.429,-36.0,-30.429
48,Indonesia,IDN,2020-04-05,-36.143,-17.143,15.429,-52.0,-35.714,-30.714
49,Indonesia,IDN,2020-04-06,-35.857,-17.143,15.429,-52.429,-35.571,-30.714
50,Indonesia,IDN,2020-04-07,-35.571,-17.143,15.429,-52.714,-35.286,-30.714
51,Indonesia,IDN,2020-04-08,-36.0,-18.143,15.429,-53.143,-35.571,-30.857
52,Indonesia,IDN,2020-04-09,-35.714,-18.143,15.286,-53.143,-35.429,-30.857
53,Indonesia,IDN,2020-04-10,-36.857,-19.714,16.286,-54.714,-35.857,-34.571
54,Indonesia,IDN,2020-04-11,-37.286,-20.286,16.571,-55.429,-36.0,-35.286
55,Indonesia,IDN,2020-04-12,-37.714,-20.714,16.714,-55.857,-36.0,-35.286
56,Indonesia,IDN,2020-04-13,-37.571,-20.571,16.857,-56.143,-35.714,-35.429
57,Indonesia,IDN,2020-04-14,-37.714,-21.0,17.0,-56.571,-35.571,-35.571
58,Indonesia,IDN,2020-04-15,-37.857,-21.286,17.286,-57.0,-35.429,-35.571
59,Indonesia,IDN,2020-04-16,-38.286,-22.0,17.571,-57.857,-35.571,-35.714
60,Indonesia,IDN,2020-04-17,-37.571,-21.286,16.714,-57.0,-35.286,-32.143
61,Indonesia,IDN,2020-04-18,-37.571,-21.429,16.429,-56.857,-35.286,-31.286
62,Indonesia,IDN,2020-04-19,-37.429,-21.286,16.286,-56.714,-35.143,-30.857
63,Indonesia,IDN,2020-04-20,-37.571,-21.286,16.143,-56.714,-35.143,-30.714
64,Indonesia,IDN,2020-04-21,-37.714,-21.286,16.143,-56.857,-35.429,-30.714
65,Indonesia,IDN,2020-04-22,-37.571,-20.857,15.857,-56.571,-35.286,-30.714
66,Indonesia,IDN,2020-04-23,-37.286,-19.714,15.571,-55.714,-35.143,-30.857
67,Indonesia,IDN,2020-04-24,-38.857,-20.714,16.143,-56.571,-36.571,-32.0
68,Indonesia,IDN,2020-04-25,-39.857,-21.286,16.714,-57.429,-37.571,-32.857
69,Indonesia,IDN,2020-04-26,-41.0,-22.429,17.286,-58.571,-38.857,-33.429
70,Indonesia,IDN,2020-04-27,-42.286,-23.714,17.714,-59.429,-40.143,-33.714
71,Indonesia,IDN,2020-04-28,-43.429,-24.714,18.0,-60.286,-41.143,-34.0
72,Indonesia,IDN,2020-04-29,-44.571,-25.857,18.429,-61.286,-42.286,-34.143
73,Indonesia,IDN,2020-04-30,-45.714,-27.143,18.857,-62.429,-43.286,-34.0
74,Indonesia,IDN,2020-05-01,-45.0,-26.143,19.286,-62.857,-42.857,-36.286
75,Indonesia,IDN,2020-05-02,-44.429,-25.429,19.143,-62.571,-42.429,-36.0
76,Indonesia,IDN,2020-05-03,-43.714,-24.571,19.0,-62.143,-42.0,-35.429
77,Indonesia,IDN,2020-05-04,-43.0,-23.571,18.857,-61.857,-41.429,-35.286
78,Indonesia,IDN,2020-05-05,-42.429,-22.571,18.857,-61.429,-40.857,-35.0
79,Indonesia,IDN,2020-05-06,-41.857,-21.714,18.857,-61.143,-40.429,-34.857
80,Indonesia,IDN,2020-05-07,-42.429,-21.571,19.714,-61.714,-40.714,-38.0
81,Indonesia,IDN,2020-05-08,-42.429,-21.0,18.857,-60.571,-40.571,-34.571
82,Indonesia,IDN,2020-05-09,-42.714,-20.714,18.714,-60.143,-40.857,-34.286
83,Indonesia,IDN,2020-05-10,-42.714,-20.0,18.571,-59.714,-40.714,-34.0
84,Indonesia,IDN,2020-05-11,-42.857,-19.286,18.571,-59.143,-41.0,-33.857
85,Indonesia,IDN,2020-05-12,-42.714,-18.429,18.571,-58.571,-40.857,-33.714
86,Indonesia,IDN,2020-05-13,-42.571,-17.571,18.429,-58.0,-40.714,-33.429
87,Indonesia,IDN,2020-05-14,-41.429,-16.429,17.429,-56.714,-40.0,-30.0
88,Indonesia,IDN,2020-05-15,-40.286,-15.0,17.0,-56.0,-39.0,-29.571
89,Indonesia,IDN,2020-05-16,-38.714,-13.0,16.714,-55.143,-37.714,-29.0
90,Indonesia,IDN,2020-05-17,-37.571,-11.571,16.571,-54.429,-37.143,-28.429
91,Indonesia,IDN,2020-05-18,-36.714,-10.714,16.429,-54.143,-36.571,-28.286
92,Indonesia,IDN,2020-05-19,-35.429,-8.714,16.143,-53.286,-35.714,-28.143
93,Indonesia,IDN,2020-05-20,-33.857,-6.571,16.0,-52.286,-34.571,-28.143
94,Indonesia,IDN,2020-05-21,-32.143,-3.429,16.429,-51.429,-33.0,-31.429
95,Indonesia,IDN,2020-05-22,-30.857,-1.143,16.857,-50.714,-31.857,-33.429
96,Indonesia,IDN,2020-05-23,-30.571,0.857,17.0,-50.143,-30.857,-35.857
97,Indonesia,IDN,2020-05-24,-32.143,-1.571,16.0,-50.429,-30.143,-38.143
98,Indonesia,IDN,2020-05-25,-33.143,-2.571,16.286,-51.143,-27.857,-43.429
